11897708;HUMIRA 40 MG;+ Alpha Pharmaceuticals GmbH;ILO;2019-02-15;YES
11897720;INFANRIX HEXA FERTIGSPR.+T;+ Alpha Pharmaceuticals GmbH;FER;2019-02-15;YES
11897832;MABTHERA 500 MG;+ Alpha Pharmaceuticals GmbH;IFK;2019-02-15;YES
11897849;MIRCERA 150 UG/0.3 ML;+ Alpha Pharmaceuticals GmbH;FER;2019-02-15;YES
11897861;NEULASTA 6MG INJ.LSG;+ Alpha Pharmaceuticals GmbH;ILO;2019-02-15;YES
11897890;PLAVIX 75MG FILMTABLETTEN;+ Alpha Pharmaceuticals GmbH;FTA;2019-02-15;YES
11897915;PREZISTA 600MG FILMTABL;+ Alpha Pharmaceuticals GmbH;FTA;2019-02-15;YES
11897921;PREZISTA 800MG FILMTABL;+ Alpha Pharmaceuticals GmbH;FTA;2019-02-15;YES
11897938;PREZISTA 800MG FILMTABL;+ Alpha Pharmaceuticals GmbH;FTA;2019-02-15;YES
11897967;REYATAZ 150 MG HARTKAPSELN;+ Alpha Pharmaceuticals GmbH;HKP;2019-02-15;YES
11897973;REYATAZ 300 MG HARTKAPSELN;+ Alpha Pharmaceuticals GmbH;HKP;2019-02-15;YES
11898010;SUTENT 50 MG HARTKAPSELN;+ Alpha Pharmaceuticals GmbH;HKP;2019-02-15;YES
11898033;TARCEVA 100 MG;+ Alpha Pharmaceuticals GmbH;FTA;2019-02-15;YES
11898056;TARCEVA 150 MG;+ Alpha Pharmaceuticals GmbH;FTA;2019-02-15;YES
11898116;VIMPAT 50MG FILMTABLETTEN;+ Alpha Pharmaceuticals GmbH;FTA;2019-02-15;YES
11898174;XARELTO 10MG FILMTABLETTEN;+ Alpha Pharmaceuticals GmbH;FTA;2019-02-15;YES
11898197;YENTREVE 20 MG;+ Alpha Pharmaceuticals GmbH;HKM;2019-02-15;YES
11898211;YENTREVE 40 MG;+ Alpha Pharmaceuticals GmbH;HKM;2019-02-15;YES
12339643;TWINRIX ERWACHSENE IMPFDOS;+ Alpha Pharmaceuticals GmbH;ISU;2019-02-15;YES
12364049;FRAXIPARINE 0.3 ML;+ Alpha Pharmaceuticals GmbH;ILO;2019-02-15;YES
12364055;FRAXIPARINE 0.3 ML;+ Alpha Pharmaceuticals GmbH;ILO;2019-02-15;YES
